manual_id,golden_file,source_url,access_date
M001,1SFC132089M0201_keyValues.txt,https://library.e.abb.com/public/0e9055566ca14019b0c4200f65c18b7b/1SFC132089M0201_PSTX_Internal_Modbus_RTU.pdf?x-sign=u9Q1y22qkX3sQjszUTeoDEjuYQlsELfNxKW0UMsc17i2coYBIkWyryrASZgnKps9,2026-02-10
M002,3S_RH_AT_PS_keyValues.txt,https://www.sevensensor.com/files/d/en/3S_RH_AT_PS_User_Manual.pdf,2026-02-16
M003,4104_mcm_100_keyValues.txt,https://www.prelectronics.com/filearkiv/pdf-ftp/4100_series/4104/config.%20manual/4104_mcm_100.pdf,2026-02-16
M004,7500f_man_3_keyValues.txt,https://www.armatec.com/4ac213/globalassets/armatec-se/inriver/documents/3535-1607/7500f_man_3.pdf,2026-01-27
M005,9202_mcm_100_keyValues.txt,https://www.prelectronics.com/filearkiv/pdf-ftp/9200_series/9202/config.%20manual/9202_mcm_100.pdf,2026-02-10
M006,9203_golden_conf_keyValues.txt,https://www.prelectronics.com/filearkiv/pdf-ftp/9200_series/9203/config.%20manual/9203_mcm_101.pdf,2026-01-27
M007,1815243_C5_keyValues.txt,https://www.fwmurphy.com/wp-content/uploads/2021/11/1815243_C5.pdf,2026-02-16
M008,20231204_Userguide_keyValues.txt,https://device.report/manuals/modbus-rtu-communication-module-user-guide-diehl-metering-sharky-775-scylar-int-8,2026-02-16
M009,a_emicon_keyValues.txt,https://image.schrack.com/dokumentationen/cion_doku/emcion11cr/modbusregistertabelle/a_emcion_homecontroller_modbus_lookup_table_en.pdf,2026-02-16
M010,ABB_Terra_AC_keyValues.txt,https://library.e.abb.com/public/4124e0d39f614ba7b0a7a6f7a2ce1f99/ABB_Terra_AC_Charger_ModbusCommunication_v1.7.pdf,2026-02-18
M011,APM_MAX_modbus_keyValues.txt,https://www.trumeter.com/wp-content/uploads/APM-MAX-Modbus-Communications.pdf,2026-02-27
M012,Application_Note_Optidrive_keyValues.txt,https://hiflex.nl/downloads/docu/inv_freq/Application_Note_Optidrive_E3_Modbus_register_map.pdf,2026-02-18
M013,CMS_Manual_keyValues.txt,https://www.scribd.com/document/668048164/CMS-Manual-Web,2026-02-16
M014,Communication_protocol_keyValues.txt,https://megacon.se/wp-content/uploads/2019/11/Communication-Protocol-Modbus-EMS-96-IM166-U-v0.4-eng.pdf,2026-02-10
M015,EM330_EM340_keyValues.txt,https://www.gavazziautomation.com/fileadmin/images/PIM/OTHERSTUFF/COMPRO/EM330_EM340_ET330_ET340_CP.pdf,2026-02-18
M016,EN_FANOXTD_keyValues.txt,https://www.fanox.com/wp-content/uploads/documents/EN_FANOXTD_MANU_SIA_MODBUS_SIAB-STANDARD-CT_R008.pdf,2026-02-16
M017,ifu-9033781_keyValues.txt,https://www.draeger.com/Content/Documents/Products/ifu-9033781en-us-en-us.pdf,2026-02-16
M018,IG_F_N1000_keyValues.txt,https://ebtron.com/wp-content/uploads/documents/IG_EF-N1000-T.pdf,2026-02-16
M019,IM_C250_MOD_keyValues.txt,https://library.e.abb.com/public/3d143ba8928d6a3dc125729200396d5e/IM_C250-MOD_3.pdf,2026-02-16
M020,Instruction_Manual_VA_keyValues.txt,https://www.cs-instruments.com/cs-data/Bedienungsanleitungen/Instruction%20manuals_EN_new/Instruction_Manual_VA_5xx_Modbus_RTU_Slave_Installation.pdf,2026-01-27
M021,IRMAX_Modbus_Manual_keyValues.txt,https://www.crowcon.com/wp-content/uploads/2024/08/IRMAX-Modbus-Manual-GLC-028X-Public-Issue-6.pdf,2026-02-27
M022,janitza_mal_um96rm_keyValues.txt,https://www.janitza.com/files/download/manuals/current/UMG96RM/E/janitza-mal-umg96rme-en.pdf,2026-02-27
M023,LV_Podrecznik_PAC2200_keyValues.txt,https://publikacje.siemens-info.com/pdf/505/LV_Podrecznik_PAC2200_EN_2017.pdf,2026-02-18
